hidden,lr,lr_decay,activation,init_type,w_scale,est_CE,val_CE
10,0.01,0.0,logsig,gaussian,0.01,[0.02078125],0.024375
10,0.01,0.01,logsig,gaussian,0.01,[0.02203125],0.02125
10,0.01,0.05,logsig,gaussian,0.01,[0.03453125],0.034375
10,0.01,0.0,logsig,gaussian,0.1,[0.02421875],0.02375
10,0.01,0.01,logsig,gaussian,0.1,[0.035],0.036875
10,0.01,0.05,logsig,gaussian,0.1,[0.03234375],0.0325
10,0.01,0.0,logsig,uniform,0.01,[0.020625],0.016875
10,0.01,0.01,logsig,uniform,0.01,[0.0284375],0.03125
10,0.01,0.05,logsig,uniform,0.01,[0.039375],0.045
10,0.01,0.0,logsig,uniform,0.1,[0.02734375],0.03125
10,0.01,0.01,logsig,uniform,0.1,[0.026875],0.025625
10,0.01,0.05,logsig,uniform,0.1,[0.0396875],0.0375
10,0.01,0.0,logsig,sparse,0.01,[0.02515625],0.024375
10,0.01,0.01,logsig,sparse,0.01,[0.0565625],0.059375
10,0.01,0.05,logsig,sparse,0.01,[0.06015625],0.05875
10,0.01,0.0,logsig,sparse,0.1,[0.0265625],0.025625
10,0.01,0.01,logsig,sparse,0.1,[0.03359375],0.03125
10,0.01,0.05,logsig,sparse,0.1,[0.03921875],0.04625
10,0.01,0.0,tanh,gaussian,0.01,[0.0259375],0.018125
10,0.01,0.01,tanh,gaussian,0.01,[0.0225],0.0175
10,0.01,0.05,tanh,gaussian,0.01,[0.01859375],0.02125
10,0.01,0.0,tanh,gaussian,0.1,[0.0271875],0.018125
10,0.01,0.01,tanh,gaussian,0.1,[0.05453125],0.054375
10,0.01,0.05,tanh,gaussian,0.1,[0.0471875],0.0425
10,0.01,0.0,tanh,uniform,0.01,[0.023125],0.01875
10,0.01,0.01,tanh,uniform,0.01,[0.02390625],0.018125
10,0.01,0.05,tanh,uniform,0.01,[0.018125],0.0175
10,0.01,0.0,tanh,uniform,0.1,[0.028125],0.018125
10,0.01,0.01,tanh,uniform,0.1,[0.0225],0.02125
10,0.01,0.05,tanh,uniform,0.1,[0.020625],0.016875
10,0.01,0.0,tanh,sparse,0.01,[0.10921875],0.100625
10,0.01,0.01,tanh,sparse,0.01,[0.06609375],0.06
10,0.01,0.05,tanh,sparse,0.01,[0.02359375],0.02125
10,0.01,0.0,tanh,sparse,0.1,[0.06875],0.060625
10,0.01,0.01,tanh,sparse,0.1,[0.05078125],0.04125
10,0.01,0.05,tanh,sparse,0.1,[0.04171875],0.040625
10,0.01,0.0,relu,gaussian,0.01,[0.046875],0.03375
10,0.01,0.01,relu,gaussian,0.01,[0.033125],0.028125
